rank,candidate_id,candidate_name,final_fit_score,similarity_score,required_skill_score,important_skill_score,matched_required_skills,matched_important_skills,missing_required_skills
1323,KG_01885,Kaggle Candidate 1885,4.42,1.34,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1324,KG_01502,Kaggle Candidate 1502,4.42,1.34,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1325,KG_02053,Kaggle Candidate 2053,4.42,1.33,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1326,KG_01213,Kaggle Candidate 1213,4.42,1.34,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1327,KG_00141,Kaggle Candidate 141,4.42,1.33,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1328,KG_00606,Kaggle Candidate 606,4.41,1.32,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1329,KG_00348,Kaggle Candidate 348,4.41,1.31,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1330,KG_00136,Kaggle Candidate 136,4.41,1.32,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1331,KG_00515,Kaggle Candidate 515,4.41,1.32,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1332,KG_00597,Kaggle Candidate 597,4.41,1.33,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1333,KG_01491,Kaggle Candidate 1491,4.41,1.32,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1334,KG_01657,Kaggle Candidate 1657,4.4,1.3,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1335,KG_01096,Kaggle Candidate 1096,4.4,1.3,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1336,KG_01452,Kaggle Candidate 1452,4.4,1.3,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1337,KG_01078,Kaggle Candidate 1078,4.4,1.3,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1338,KG_02095,Kaggle Candidate 2095,4.4,1.3,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1339,KG_00764,Kaggle Candidate 764,4.4,1.3,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1340,KG_02066,Kaggle Candidate 2066,4.39,1.28,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1341,KG_00479,Kaggle Candidate 479,4.39,1.29,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1342,KG_00071,Kaggle Candidate 71,4.39,1.29,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1343,KG_00963,Kaggle Candidate 963,4.39,1.28,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1344,KG_02470,Kaggle Candidate 2470,4.39,1.27,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1345,KG_02029,Kaggle Candidate 2029,4.39,1.28,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1346,KG_02394,Kaggle Candidate 2394,4.39,1.28,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1347,KG_00965,Kaggle Candidate 965,4.38,1.26,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1348,KG_01969,Kaggle Candidate 1969,4.38,1.25,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1349,KG_00741,Kaggle Candidate 741,4.38,1.25,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1350,KG_02145,Kaggle Candidate 2145,4.38,1.26,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1351,KG_01268,Kaggle Candidate 1268,4.38,1.27,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1352,KG_01991,Kaggle Candidate 1991,4.37,1.25,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1353,KG_02014,Kaggle Candidate 2014,4.37,1.23,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1354,KG_01231,Kaggle Candidate 1231,4.37,1.25,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1355,KG_00043,Kaggle Candidate 43,4.37,1.23,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1356,KG_01857,Kaggle Candidate 1857,4.37,1.24,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1357,KG_00008,Kaggle Candidate 8,4.36,1.22,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1358,KG_00621,Kaggle Candidate 621,4.36,1.21,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1359,KG_01544,Kaggle Candidate 1544,4.36,1.22,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1360,KG_02228,Kaggle Candidate 2228,4.36,1.21,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1361,KG_00029,Kaggle Candidate 29,4.35,1.2,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1362,KG_01753,Kaggle Candidate 1753,4.35,1.2,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1363,KG_01548,Kaggle Candidate 1548,4.35,1.2,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1364,KG_00677,Kaggle Candidate 677,4.35,1.21,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1365,KG_02257,Kaggle Candidate 2257,4.35,1.2,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1366,KG_00867,Kaggle Candidate 867,4.35,1.21,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1367,KG_01077,Kaggle Candidate 1077,4.35,1.21,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1368,KG_02367,Kaggle Candidate 2367,4.35,1.21,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1369,KG_02458,Kaggle Candidate 2458,4.34,1.19,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1370,KG_00936,Kaggle Candidate 936,4.34,1.17,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1371,KG_00397,Kaggle Candidate 397,4.34,1.18,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1372,KG_00239,Kaggle Candidate 239,4.34,1.18,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1373,KG_00892,Kaggle Candidate 892,4.34,1.18,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1374,KG_00482,Kaggle Candidate 482,4.34,1.18,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1375,KG_01776,Kaggle Candidate 1776,4.34,1.18,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1376,KG_00843,Kaggle Candidate 843,4.34,1.17,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1377,KG_02402,Kaggle Candidate 2402,4.33,1.15,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1378,KG_02287,Kaggle Candidate 2287,4.33,1.16,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1379,KG_01087,Kaggle Candidate 1087,4.33,1.16,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1380,KG_01655,Kaggle Candidate 1655,4.33,1.16,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1381,KG_00305,Kaggle Candidate 305,4.33,1.15,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1382,KG_00350,Kaggle Candidate 350,4.32,1.13,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1383,KG_01460,Kaggle Candidate 1460,4.32,1.14,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1384,KG_00502,Kaggle Candidate 502,4.32,1.14,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1385,KG_00444,Kaggle Candidate 444,4.32,1.14,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1386,KG_00528,Kaggle Candidate 528,4.31,1.12,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1387,KG_02217,Kaggle Candidate 2217,4.31,1.11,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1388,KG_02226,Kaggle Candidate 2226,4.31,1.13,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1389,KG_01797,Kaggle Candidate 1797,4.31,1.12,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1390,KG_01765,Kaggle Candidate 1765,4.31,1.13,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1391,KG_00834,Kaggle Candidate 834,4.3,1.09,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1392,KG_01204,Kaggle Candidate 1204,4.3,1.1,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1393,KG_01352,Kaggle Candidate 1352,4.3,1.09,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1394,KG_01110,Kaggle Candidate 1110,4.3,1.11,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1395,KG_00977,Kaggle Candidate 977,4.3,1.1,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1396,KG_02094,Kaggle Candidate 2094,4.3,1.09,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1397,KG_01209,Kaggle Candidate 1209,4.3,1.1,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1398,KG_02210,Kaggle Candidate 2210,4.3,1.1,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1399,KG_00418,Kaggle Candidate 418,4.3,1.1,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1400,KG_01444,Kaggle Candidate 1444,4.29,1.08,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1401,KG_01082,Kaggle Candidate 1082,4.29,1.07,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1402,KG_00301,Kaggle Candidate 301,4.29,1.08,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1403,KG_00565,Kaggle Candidate 565,4.29,1.09,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1404,KG_01331,Kaggle Candidate 1331,4.29,1.08,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1405,KG_00428,Kaggle Candidate 428,4.29,1.08,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1406,KG_01609,Kaggle Candidate 1609,4.29,1.07,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1407,KG_01473,Kaggle Candidate 1473,4.29,1.07,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1408,KG_01247,Kaggle Candidate 1247,4.28,1.06,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1409,KG_01109,Kaggle Candidate 1109,4.28,1.05,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1410,KG_02061,Kaggle Candidate 2061,4.28,1.06,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1411,KG_02055,Kaggle Candidate 2055,4.28,1.05,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1412,KG_02079,Kaggle Candidate 2079,4.28,1.06,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1413,KG_00194,Kaggle Candidate 194,4.27,1.03,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1414,KG_01327,Kaggle Candidate 1327,4.27,1.05,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1415,KG_01324,Kaggle Candidate 1324,4.27,1.05,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1416,KG_01366,Kaggle Candidate 1366,4.27,1.03,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1417,KG_02299,Kaggle Candidate 2299,4.27,1.04,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1418,KG_01979,Kaggle Candidate 1979,4.26,1.02,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1419,KG_01545,Kaggle Candidate 1545,4.26,1.03,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1420,KG_00761,Kaggle Candidate 761,4.26,1.02,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1421,KG_00112,Kaggle Candidate 112,4.26,1.02,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1422,KG_00073,Kaggle Candidate 73,4.26,1.02,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1423,KG_02083,Kaggle Candidate 2083,4.26,1.03,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1424,KG_00951,Kaggle Candidate 951,4.26,1.01,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1425,KG_00803,Kaggle Candidate 803,4.25,1.01,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1426,KG_02378,Kaggle Candidate 2378,4.25,1.01,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1427,KG_01068,Kaggle Candidate 1068,4.25,1.01,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1428,KG_01286,Kaggle Candidate 1286,4.25,0.99,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1429,KG_00841,Kaggle Candidate 841,4.25,1,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1430,KG_01386,Kaggle Candidate 1386,4.25,1,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1431,KG_01998,Kaggle Candidate 1998,4.25,1,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1432,KG_00848,Kaggle Candidate 848,4.25,1,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1433,KG_02098,Kaggle Candidate 2098,4.25,1.01,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1434,KG_00011,Kaggle Candidate 11,4.25,1.01,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1435,KG_01838,Kaggle Candidate 1838,4.25,1,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1436,KG_02209,Kaggle Candidate 2209,4.25,1,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1437,KG_00825,Kaggle Candidate 825,4.25,1,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1438,KG_00699,Kaggle Candidate 699,4.24,0.99,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1439,KG_01162,Kaggle Candidate 1162,4.24,0.98,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1440,KG_00971,Kaggle Candidate 971,4.24,0.97,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1441,KG_01079,Kaggle Candidate 1079,4.24,0.98,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1442,KG_01780,Kaggle Candidate 1780,4.24,0.97,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1443,KG_01064,Kaggle Candidate 1064,4.24,0.97,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1444,KG_00711,Kaggle Candidate 711,4.24,0.99,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1445,KG_01112,Kaggle Candidate 1112,4.24,0.99,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1446,KG_02097,Kaggle Candidate 2097,4.24,0.97,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1447,KG_01997,Kaggle Candidate 1997,4.23,0.95,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1448,KG_01103,Kaggle Candidate 1103,4.23,0.96,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1449,KG_01950,Kaggle Candidate 1950,4.23,0.96,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1450,KG_01630,Kaggle Candidate 1630,4.23,0.96,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1451,KG_01396,Kaggle Candidate 1396,4.23,0.95,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1452,KG_01615,Kaggle Candidate 1615,4.23,0.95,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1453,KG_02074,Kaggle Candidate 2074,4.23,0.97,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1454,KG_00627,Kaggle Candidate 627,4.23,0.96,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1455,KG_00624,Kaggle Candidate 624,4.23,0.95,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1456,KG_01116,Kaggle Candidate 1116,4.22,0.95,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1457,KG_01880,Kaggle Candidate 1880,4.22,0.93,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1458,KG_02132,Kaggle Candidate 2132,4.22,0.94,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1459,KG_02430,Kaggle Candidate 2430,4.22,0.95,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1460,KG_01262,Kaggle Candidate 1262,4.22,0.95,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1461,KG_00443,Kaggle Candidate 443,4.22,0.95,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1462,KG_01498,Kaggle Candidate 1498,4.22,0.94,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1463,KG_01342,Kaggle Candidate 1342,4.22,0.93,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1464,KG_01063,Kaggle Candidate 1063,4.22,0.94,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1465,KG_00094,Kaggle Candidate 94,4.22,0.93,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1466,KG_02421,Kaggle Candidate 2421,4.21,0.92,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1467,KG_02052,Kaggle Candidate 2052,4.21,0.92,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1468,KG_00947,Kaggle Candidate 947,4.21,0.92,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1469,KG_00475,Kaggle Candidate 475,4.21,0.92,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1470,KG_02112,Kaggle Candidate 2112,4.2,0.9,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1471,KG_00171,Kaggle Candidate 171,4.2,0.89,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1472,KG_01592,Kaggle Candidate 1592,4.2,0.89,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1473,KG_00002,Kaggle Candidate 2,4.2,0.91,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1474,KG_01009,Kaggle Candidate 1009,4.2,0.91,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1475,KG_01330,Kaggle Candidate 1330,4.2,0.9,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1476,KG_02248,Kaggle Candidate 2248,4.2,0.9,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1477,KG_00556,Kaggle Candidate 556,4.2,0.91,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1478,KG_02298,Kaggle Candidate 2298,4.2,0.89,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1479,KG_02341,Kaggle Candidate 2341,4.2,0.91,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1480,KG_00130,Kaggle Candidate 130,4.2,0.89,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1481,KG_00916,Kaggle Candidate 916,4.2,0.9,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1482,KG_02237,Kaggle Candidate 2237,4.2,0.89,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1483,KG_00871,Kaggle Candidate 871,4.19,0.88,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1484,KG_01659,Kaggle Candidate 1659,4.19,0.89,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1485,KG_00128,Kaggle Candidate 128,4.19,0.88,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1486,KG_01457,Kaggle Candidate 1457,4.19,0.89,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1487,KG_00056,Kaggle Candidate 56,4.19,0.89,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1488,KG_00238,Kaggle Candidate 238,4.19,0.88,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1489,KG_00423,Kaggle Candidate 423,4.19,0.88,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1490,KG_00710,Kaggle Candidate 710,4.19,0.88,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1491,KG_00946,Kaggle Candidate 946,4.19,0.87,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1492,KG_01981,Kaggle Candidate 1981,4.19,0.88,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1493,KG_02423,Kaggle Candidate 2423,4.18,0.87,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1494,KG_01210,Kaggle Candidate 1210,4.18,0.85,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1495,KG_01285,Kaggle Candidate 1285,4.18,0.86,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1496,KG_01670,Kaggle Candidate 1670,4.18,0.85,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1497,KG_01876,Kaggle Candidate 1876,4.18,0.86,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1498,KG_01417,Kaggle Candidate 1417,4.18,0.85,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1499,KG_00403,Kaggle Candidate 403,4.18,0.85,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1500,KG_01748,Kaggle Candidate 1748,4.18,0.86,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1501,KG_01299,Kaggle Candidate 1299,4.18,0.86,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1502,KG_00249,Kaggle Candidate 249,4.18,0.86,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1503,KG_01746,Kaggle Candidate 1746,4.17,0.85,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1504,KG_00490,Kaggle Candidate 490,4.17,0.84,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1505,KG_01347,Kaggle Candidate 1347,4.17,0.84,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1506,KG_00901,Kaggle Candidate 901,4.17,0.84,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1507,KG_02255,Kaggle Candidate 2255,4.17,0.85,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1508,KG_01081,Kaggle Candidate 1081,4.17,0.83,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1509,KG_01200,Kaggle Candidate 1200,4.16,0.81,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1510,KG_02054,Kaggle Candidate 2054,4.16,0.82,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1511,KG_01620,Kaggle Candidate 1620,4.16,0.83,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1512,KG_02380,Kaggle Candidate 2380,4.16,0.82,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1513,KG_02331,Kaggle Candidate 2331,4.16,0.82,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1514,KG_02260,Kaggle Candidate 2260,4.16,0.81,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1515,KG_01208,Kaggle Candidate 1208,4.16,0.82,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1516,KG_01743,Kaggle Candidate 1743,4.16,0.83,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1517,KG_01000,Kaggle Candidate 1000,4.16,0.81,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1518,KG_02264,Kaggle Candidate 2264,4.16,0.82,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1519,KG_02037,Kaggle Candidate 2037,4.16,0.82,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1520,KG_02275,Kaggle Candidate 2275,4.15,0.81,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1521,KG_00349,Kaggle Candidate 349,4.15,0.79,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1522,KG_02111,Kaggle Candidate 2111,4.15,0.8,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1523,KG_00872,Kaggle Candidate 872,4.15,0.79,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1524,KG_01431,Kaggle Candidate 1431,4.15,0.8,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1525,KG_02342,Kaggle Candidate 2342,4.15,0.8,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1526,KG_01671,Kaggle Candidate 1671,4.15,0.8,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1527,KG_01229,Kaggle Candidate 1229,4.14,0.79,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1528,KG_02389,Kaggle Candidate 2389,4.14,0.78,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1529,KG_00046,Kaggle Candidate 46,4.14,0.78,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1530,KG_02306,Kaggle Candidate 2306,4.14,0.78,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1531,KG_00435,Kaggle Candidate 435,4.14,0.78,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1532,KG_00392,Kaggle Candidate 392,4.14,0.79,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1533,KG_01769,Kaggle Candidate 1769,4.13,0.76,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1534,KG_02144,Kaggle Candidate 2144,4.13,0.75,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1535,KG_00344,Kaggle Candidate 344,4.13,0.76,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1536,KG_01405,Kaggle Candidate 1405,4.13,0.76,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
1537,KG_00858,Kaggle Candidate 858,4.13,0.75,0,25,,communication,"data cleaning, data visualization, excel, sql, statistics, tableau"
